sheet,stream,part,item_number,position_in_part,title,source_row,source_title_column
BTS,BTS,Part 1,1,1,BTS (방탄소년단) 'Body to Body' (Color Coded Lyrics),7,B
BTS,BTS,Part 1,2,2,BTS (방탄소년단) 'Hooligan' (Color Coded Lyrics),8,B
BTS,BTS,Part 1,3,3,BTS 'Aliens' Lyrics (방탄소년단 Aliens 가사) [Color Coded Han_Rom_Eng] | ShadowByYoongi,9,B
BTS,BTS,Part 1,4,4,BTS 'FYA' Lyrics (방탄소년단 FYA 가사) [Color Coded Han_Rom_Eng] | ShadowByYoongi,10,B
BTS,BTS,Part 1,5,5,BTS '2.0' Lyrics (방탄소년단 2.0 가사) [Color Coded Han_Rom_Eng] | ShadowByYoongi,11,B
BTS,BTS,Part 1,6,6,BTS (방탄소년단) 'Merry go round' (Color Coded Lyrics),12,B
BTS,BTS,Part 1,7,7,BTS 'Like Animals' Lyrics (방탄소년단 Like Animals 가사) [Color Coded_Eng] | ShadowByYoongi,13,B
BTS,BTS,Part 1,8,8,BTS 'One More Night' Lyrics (방탄소년단 One More Night 가사) [Color Coded Han_Rom_Eng] | ShadowByYoongi,14,B
BTS,BTS,Part 1,9,9,BTS 'Please' Lyrics (방탄소년단 Please 가사) [Color Coded Han_Rom_Eng] | ShadowByYoongi,15,B
BTS,BTS,Part 2,1,1,BTS 'Into the Sun' Lyrics (방탄소년단 Into the Sun 가사) [Color Coded Han_Rom_Eng] | ShadowByYoongi,19,B
BTS,BTS,Part 2,2,2,FANCAM 260321 Body to Body BTS The Comeback Live Arirang Gwanghwamun Concert 방탄소년단,20,B
BTS,BTS,Part 2,3,3,FANCAM 260321 2.0 BTS The Comeback Live Arirang Gwanghwamun Concert 방탄소년단,21,B
BTS,BTS,Part 2,4,4,FANCAM 260321 Mic Drop BTS The Comeback Live Arirang Gwanghwamun Concert 방탄소년단,22,B
BTS,BTS,Part 2,5,5,FANCAM 260321 Aliens BTS The Comeback Live Arirang Gwanghwamun Concert 방탄소년단,23,B
BTS,BTS,Part 3,1,1,BTS - SWIM Performance (Live at Netflix) ARIRANG,28,B
Blackpink,Blackpink,Part 1,1,1,[Official Audio] BLACKPINK 'Me and my' Lyrics (Color Coded Lyrics),7,B
Blackpink,Blackpink,Part 1,2,2,https://www.youtube.com/watch?v=OsFFIPu9JGs,8,B
Blackpink,Blackpink,Part 1,3,3,BLACKPINK (블랙핑크) 'Fxxxboy' (Color Coded Lyrics),9,B
Blackpink,Blackpink,Part 1,4,4,BLACKPINK - 'PARTITION (Beyonce)' DANCE COVER 0812 SBS PARTY PEOPLE,10,B
Blackpink,Blackpink,Part 1,5,5,Blackpink - 'How You Like That' dance practice (Fun Version),11,B
Blackpink,Blackpink,Part 1,6,6,BLACKPINK - 'SOLO' + '뚜두뚜두(DDU-DU DDU-DU)' + 'FOREVER YOUNG' in 2018 SBS Gayodaejun,12,B
